Borough,Zipcode,Street1,Street2,Accidents,Injuries,Deaths,Lat,Long
BROOKLYN,11201,FLATBUSH AVENUE EXTENSION,TILLARY STREET,14,2,0,40.6960346,-73.9845292
MANHATTAN,10036,WEST 42 STREET,8 AVENUE,11,0,0,40.7572323,-73.9897922
MANHATTAN,10022,EAST 57 STREET,3 AVENUE,11,0,0,40.7602226,-73.967462
BROOKLYN,11207,LINDEN BOULEVARD,PENNSYLVANIA AVENUE,10,3,0,40.6585778,-73.890629
QUEENS,11354,NORTHERN BOULEVARD,PARSONS BOULEVARD,10,3,0,40.764651,-73.823484
MANHATTAN,10001,WEST 31 STREET,8 AVENUE,10,0,0,40.7502939,-73.9948425
QUEENS,11373,QUEENS BOULEVARD,WOODHAVEN BOULEVARD,9,2,0,40.7334973,-73.8703694
MANHATTAN,10013,VARICK STREET,CANAL STREET,9,7,0,40.7225499,-74.006299
BRONX,10475,BARTOW AVENUE,BAYCHESTER AVENUE,9,5,0,40.8687708,-73.8317333
QUEENS,11101,SKILLMAN AVENUE,THOMSON AVENUE,8,0,0,40.7452378,-73.9376959
